timestamp,e_type,delay
28-03-2024 20:35:37,Data Download Timeout Exception,10
28-03-2024 20:36:06,Data Download Timeout Exception,10
28-03-2024 20:36:36,Data Download Timeout Exception,10
28-03-2024 20:37:06,Data Download Timeout Exception,10
28-03-2024 20:37:35,Data Download Timeout Exception,10
28-03-2024 20:38:05,Data Download Timeout Exception,10
28-03-2024 20:38:35,Data Download Timeout Exception,10
28-03-2024 20:39:04,Data Download Timeout Exception,10
28-03-2024 20:39:34,Data Download Timeout Exception,10
28-03-2024 20:40:04,Data Download Timeout Exception,10
28-03-2024 20:40:33,Data Download Timeout Exception,10
28-03-2024 20:41:03,Data Download Timeout Exception,10
28-03-2024 20:41:33,Data Download Timeout Exception,10
28-03-2024 20:42:02,Data Download Timeout Exception,10
28-03-2024 20:42:32,Data Download Timeout Exception,10
28-03-2024 20:43:02,Requests Connection Error Exception,10
28-03-2024 20:43:30,Data Download Timeout Exception,10
28-03-2024 20:43:59,Data Download Timeout Exception,10
28-03-2024 20:44:29,Data Download Timeout Exception,10
28-03-2024 20:44:59,Data Download Timeout Exception,10
28-03-2024 20:45:28,Data Download Timeout Exception,10
